Dwell Time,SO Number
0.0,7376096
0.0,"7378338,7378339,7377499"
1.68,"7377776,7377777,7377778,7377779,7378271,7378272,7378273,7378274"
13.5,7384248
0.0,"7379571,7379572,7379573,7379574,7379575"
2.27,"7376624,7376638,7376645,7381121,7381132,7381011"
0.0,"7380165,7377553,7380164,7380166,7380167,7380169,7380163"
0.0,7377939
0.0,"7378226,7381983"
0.0,"7377140,7381123,7380886,7381142"
8.47,7381706
0.0,7382501
6.35,7378192
21.28,7383293
11.93,7376090
5.5,7383474
0.0,11076048
8.0,7373039
0.0,7378193
0.0,7371592
0.0,7378184
1.87,7301895
0.0,"7378301,7377497,7377498"
0.0,"7305804,7383718"
0.0,7377055
0.02,7377056
0.0,7377061
0.0,7378227
0.0,"7377276,7377280,7377282"
0.0,7378248
0.0,7378195
2.73,7376097
4.27,"7377733,7373682"
0.0,"7378122,7380068"
9.88,7378309
8.3,"7377278,7380876,7381135,7381143"
9.75,7381995
1.77,7376967
1.88,7384744
0.0,7376283
0.0,7377959
0.0,"7376055,7379443,7373484"
7.4,7378194
3.23,7380216
1.77,7377946
33.68,7377745
10.83,7372737
0.0,7366325
0.0,7366327
0.0,7366324
2.3,7377748
8.55,7383950
0.0,7376283
0.0,7366326
0.0,7373032
6.93,7382557
1.37,7373031
6.5,7381657
6.07,7375694
0.0,7380708
3.98,7380528
6.73,7382056
2.67,7372739
3.48,7379810
0.0,7381415
0.0,7381228
0.0,7384640
0.0,7384633
0.0,7384746
0.0,7381401
0.0,7381229
0.0,7381349
0.0,"7376055,7379443,7373484"
2.0,7380185
1.68,"7379576,7378340"
0.0,7376965
0.0,7367685
9.8,7379490
3.03,7383949
8.65,"7376908,7376639,7376926,7377276,7381122,7381133"
5.77,7384949
4.07,7376085
0.0,7380144
5.38,7376103
4.77,7379963
2.2,7373029
1.87,7379964
5.48,"7383733,7384076"
0.0,7379413
0.0,7381996
14.85,7377960
0.0,"7382551,7381755,7382577,7382576"
7.05,7384248
1.3,7381436
0.0,"7380117,7380118"
0.0,7384925
0.0,7384830
0.0,7385201
0.0,7385202
2.75,7378197
8.98,"7381710,7382078,7381701"
7.55,"7381662,7371574"
2.48,7354574
0.0,"7385819,7385511,7385820"
0.0,7385310
0.0,"7384843,7385510,7378248,7382551,7385819,7385511,7385820,7382577,7382576"
0.0,7385350
0.0,7384976
0.0,7384977
8.95,7383731
8.37,7385382
7.37,7384082
0.0,7350059
17.5,7371592
0.0,7383666
0.0,"7305804,7383718"
10.87,7384892
2.92,7377749
3.02,"7384280,7384534,7384287,7384288,7384294"
1.23,7384643
0.23,7378319
0.0,7367447
14.3,7381733
0.0,7378342
0.0,11716300
9.18,7385850
10.5,7382007
0.0,7380651
8.7,7385851
0.48,7378341
7.97,7380215
2.45,7377947
12.08,7378148
7.85,7377939
15.97,7376101
12.68,7382501
0.0,7350059
2.7,"7384535,7384537,7384545,7384551,7384375,7384377"
0.0,"7386010,7385822,7385512,7385821"
0.0,"7380117,7380118"
13.57,7373037
0.0,"7380813,7381285,7384314"
3.5,7385753
7.53,7382055
0.0,"7348661,7381984,7376942,7377875,7377923,7377761,7377029"
19.63,7384083
10.97,7377751
28.25,"7381127,7381139,7381016"
0.0,11712902
22.27,"7367013,7368266"
0.0,"587217,587432467380646"
0.0,"7376632,7376651"
4.63,7381585
27.0,7387031
18.78,"7370577,7370640,7373073"
18.0,7381520
0.0,7380652
1.82,7381719
2.83,"7384470,7384472,7384474,7384475"
1.7,7373078
1.47,7388246
3.82,"7381124,7381007,7380887,7380893,7380894,7381148"
1.95,"7377275,7377141,7377142,7377145,7377147,7377284,7381125,7380880,7380888,7381140,7380895,7381014,7380898"
4.87,"7376632,7376651,7377143,7380877,7380889,7381144"
0.68,7383475
0.0,"7377028,7381442,7381443,7385136,7384760,7384941,7384942,7381570,7381671,7381445"
2.0,"7377280,7381004,7381137,7381015"
3.6,7366327
1.38,7366326
